MEMBER_ID,OPTIMIZED_EXPECTED_FINAL_PORTFOLIO_VALUE,OPTIMIZED_MEDIAN_FINAL_PORTFOLIO_VALUE,OPTIMIZED_STANDARD_DEVIATION_OF_FINAL_PORTFOLIO_VALUE,OPTIMIZED_VALUE_AT_RISK,OPTIMIZED_CONDITIONAL_VALUE_AT_RISK,OPTIMIZED_PROBABILITY_OF_LOSS,OPTIMIZED_SHARPE_RATIO
MID192415,"$116,470.61","$114,707.56","$24,788.12",,,13.00%,1.0679
MID192416,"$12,812.13","$12,653.36","$2,520.44",,,13.80%,1.1157
MID192417,"$50,477.15","$49,857.51","$11,002.16",,,16.00%,0.9523
MID192418,"$14,139.89","$13,786.02","$2,880.41",,,12.40%,1.0901
MID192419,"$114,976.52","$112,757.64","$23,695.57",,,13.00%,1.0541
MID192420,"$51,662.57","$50,370.60","$10,965.37",,,13.20%,1.0636
MID192421,"$114,802.85","$113,229.68","$23,485.87",,,15.60%,1.0561
MID192422,"$103,344.65","$101,141.40","$21,603.00",,,12.00%,1.0806
MID192423,"$116,658.47","$113,636.84","$25,468.66",,,13.80%,1.0467
MID192424,"$6,456.63","$6,310.06","$1,374.20",,,15.00%,1.0600
MID192425,"$102,155.45","$100,999.58","$20,441.39",,,12.40%,1.0839
MID192426,"$113,330.38","$110,815.65","$23,073.89",,,13.00%,1.0978
MID192427,"$70,950.63","$70,138.26","$15,244.06",,,15.20%,1.0464
MID192428,"$1,294,484.99","$1,269,371.62","$267,700.32",,,11.80%,1.1001
MID192429,"$115,384.77","$113,213.14","$24,751.61",,,15.20%,1.0256
MID192430,"$103,631.69","$100,334.08","$21,826.55",,,12.40%,1.0827
MID192431,"$114,043.69","$111,581.30","$25,863.50",,,14.20%,1.0070
MID192432,"$58,072.02","$57,156.98","$11,910.20",,,12.80%,1.0975
MID192433,"$1,288,547.67","$1,274,523.47","$276,902.83",,,14.80%,1.0421
MID192434,"$14,272.11","$14,075.52","$2,928.04",,,12.60%,1.1175
MID192435,"$115,913.70","$112,344.30","$25,899.44",,,12.60%,1.0778
MID192436,"$114,573.02","$112,714.21","$24,749.79",,,13.20%,1.0737
MID192437,"$89,692.84","$87,653.02","$19,326.91",,,11.80%,1.0707
MID192438,"$126,068.17","$123,706.46","$25,988.80",,,13.40%,1.1185
MID192439,"$6,447.39","$6,288.41","$1,319.64",,,13.60%,1.0968
MID192440,"$103,238.28","$100,906.09","$22,283.53",,,12.80%,1.0428
MID192441,"$1,291,278.39","$1,270,629.04","$266,100.46",,,12.60%,1.0946
MID192442,"$105,307.67","$103,122.59","$22,941.30",,,11.60%,1.1031
MID192443,"$103,884.68","$101,934.76","$22,221.78",,,14.40%,1.0748
MID192444,"$64,176.05","$63,184.38","$13,455.43",,,15.40%,1.0536
MID192445,"$13,034.25","$12,674.85","$2,901.96",,,13.00%,1.0456
MID192446,"$112,458.15","$107,465.96","$26,411.43",,,16.40%,0.9260
MID192447,"$51,644.09","$50,704.83","$11,293.83",,,14.00%,1.0310
MID192448,"$14,271.85","$13,786.57","$2,908.29",,,11.00%,1.1250
MID192449,"$58,433.37","$57,425.97","$12,542.25",,,13.80%,1.0710
MID192450,"$12,948.23","$12,704.35","$2,698.61",,,13.00%,1.0925
MID192451,"$57,201.96","$56,028.49","$11,663.76",,,14.80%,1.0461
MID192452,"$12,827.01","$12,642.87","$2,782.27",,,15.80%,1.0161
MID192453,"$13,039.77","$12,754.68","$2,829.38",,,12.60%,1.0744
MID192454,"$1,287,321.84","$1,250,609.40","$270,318.19",,,12.20%,1.0629
MID192455,"$63,526.71","$62,002.14","$12,980.69",,,15.00%,1.0421
MID192456,"$70,714.71","$69,428.19","$15,875.37",,,16.20%,0.9899
MID192457,"$63,965.72","$62,774.54","$13,992.88",,,12.80%,1.0695
MID192458,"$124,166.16","$120,719.11","$27,441.47",,,14.80%,0.9900
MID192459,"$1,291,482.06","$1,267,392.57","$277,362.23",,,13.00%,1.0509
MID192460,"$63,188.69","$62,322.38","$12,156.30",,,14.00%,1.0849
MID192461,"$14,320.91","$13,884.81","$2,928.80",,,11.40%,1.1339
MID192462,"$1,293,446.60","$1,267,471.65","$259,480.37",,,11.60%,1.1309
MID192463,"$1,276,905.89","$1,245,027.42","$271,569.46",,,14.00%,1.0197
MID192464,"$71,639.61","$70,135.20","$15,113.01",,,12.80%,1.1010
MID192465,"$115,059.36","$113,217.66","$24,497.85",,,14.60%,1.0229
MID192466,"$112,783.55","$108,424.41","$24,105.46",,,14.00%,1.0281
MID192467,"$1,306,527.15","$1,281,794.27","$290,614.59",,,14.60%,1.0548
MID192468,"$64,647.99","$63,380.54","$14,648.58",,,15.00%,1.0000
MID192469,"$70,968.85","$69,996.35","$13,551.28",,,11.20%,1.1784
MID192470,"$12,747.79","$12,436.38","$2,664.40",,,13.20%,1.0313
MID192471,"$124,986.39","$122,499.03","$26,985.80",,,13.40%,1.0371
MID192472,"$58,367.43","$57,186.20","$12,535.99",,,13.40%,1.0663
MID192473,"$6,470.92","$6,287.95","$1,370.62",,,11.80%,1.0732
MID192474,"$112,321.34","$109,406.94","$24,351.19",,,14.80%,0.9988
MID192475,"$1,281.01","$1,240.65",$270.59,,,13.40%,1.0385
MID192476,"$12,978.19","$12,643.24","$2,858.92",,,15.00%,1.0417
MID192477,"$12,952.39","$12,701.77","$2,722.38",,,15.00%,1.0845
MID192478,"$6,497.18","$6,330.03","$1,438.78",,,12.40%,1.0406
MID192479,"$1,290,606.78","$1,257,933.22","$275,641.47",,,13.40%,1.0543
MID192480,"$6,503.63","$6,360.57","$1,369.74",,,12.00%,1.0977
MID192481,"$1,311,831.55","$1,284,768.66","$276,876.14",,,12.40%,1.1262
MID192482,"$113,110.45","$111,119.19","$24,430.69",,,14.40%,1.0278
MID192483,"$1,284,787.31","$1,252,467.16","$286,777.38",,,15.40%,0.9931
MID192484,"$14,222.02","$13,864.96","$2,924.51",,,12.80%,1.1017
MID192485,"$63,806.19","$62,404.92","$13,842.51",,,15.60%,0.9974
MID192486,"$117,021.15","$113,718.72","$25,635.53",,,12.00%,1.0541
MID192487,"$1,290,135.25","$1,271,542.13","$273,082.24",,,14.40%,1.0624
MID192488,"$89,588.95","$88,147.31","$17,473.77",,,9.60%,1.1783
MID192489,"$13,096.80","$12,764.81","$2,798.32",,,12.40%,1.1067
MID192490,"$1,296,413.72","$1,265,436.93","$287,777.00",,,14.40%,1.0300
MID192491,"$1,299.10","$1,281.84",$284.44,,,14.20%,1.0516
MID192492,"$6,449.95","$6,319.48","$1,383.30",,,13.00%,1.0482
MID192493,"$1,272,936.74","$1,248,798.47","$266,695.85",,,15.80%,1.0234
MID192494,"$103,015.13","$100,582.50","$21,982.46",,,14.00%,1.0470
MID192495,"$58,190.29","$56,022.76","$13,205.05",,,15.00%,0.9989
MID192496,"$102,758.27","$99,826.55","$21,529.22",,,11.80%,1.0571
MID192497,"$71,356.61","$69,962.21","$15,033.27",,,13.00%,1.0880
MID192498,"$57,432.55","$55,728.55","$12,472.43",,,16.40%,0.9968
MID192499,"$116,617.83","$113,502.82","$26,610.04",,,14.60%,1.0003
MID192500,"$1,301,772.96","$1,264,893.88","$294,923.85",,,13.80%,1.0232
MID192501,"$51,732.79","$50,511.42","$11,439.72",,,14.20%,1.0256
MID192502,"$89,154.56","$88,731.57","$19,917.16",,,14.80%,1.0119
MID192503,"$1,276,493.94","$1,253,808.47","$263,832.22",,,13.40%,1.0480
MID192504,"$1,302,452.56","$1,276,548.73","$275,213.67",,,13.20%,1.0990
MID192505,"$12,862.13","$12,676.11","$2,782.22",,,14.20%,1.0287
MID192506,"$104,361.16","$103,216.83","$22,547.85",,,14.60%,1.0804
MID192507,"$58,128.73","$56,913.17","$12,173.96",,,12.80%,1.0784
MID192508,"$51,080.62","$49,963.29","$11,591.39",,,15.80%,0.9559
MID192509,"$50,599.04","$49,606.86","$11,215.59",,,16.20%,0.9450
MID192510,"$6,350.10","$6,198.43","$1,439.92",,,15.00%,0.9376
MID192511,"$124,555.39","$122,582.49","$26,365.86",,,15.00%,1.0451
MID192512,"$63,330.75","$62,082.16","$12,381.65",,,12.40%,1.1574
MID192513,"$112,492.85","$110,194.28","$25,248.49",,,17.60%,0.9701
MID192514,"$51,872.45","$51,219.54","$10,881.32",,,12.00%,1.0911
MID192515,"$6,501.24","$6,324.73","$1,379.48",,,12.60%,1.0883
MID192516,"$115,345.47","$112,213.73","$25,119.81",,,12.60%,1.0886
MID192517,"$1,281,384.89","$1,244,407.35","$269,828.15",,,11.80%,1.0428
MID192518,"$115,656.79","$114,273.30","$24,310.08",,,15.60%,1.0554
MID192519,"$102,872.62","$99,469.65","$22,248.09",,,12.20%,1.0281
MID192520,"$50,073.80","$48,515.67","$10,610.30",,,17.00%,0.9494
MID192521,"$6,503.32","$6,471.11","$1,400.13",,,13.60%,1.0737
MID192522,"$114,910.67","$113,477.82","$23,739.58",,,16.00%,1.0493
MID192523,"$70,089.28","$68,788.52","$14,194.83",,,13.00%,1.0630
MID192524,"$102,246.08","$99,480.08","$21,264.30",,,13.40%,1.0462
MID192525,"$14,048.91","$13,767.32","$3,139.84",,,16.60%,0.9710
MID192526,"$12,976.86","$12,634.76","$2,829.18",,,12.80%,1.0522
MID192527,"$62,619.18","$61,842.85","$13,306.55",,,14.80%,1.0235
MID192528,"$58,125.79","$56,914.82","$12,342.00",,,12.60%,1.0635
MID192529,"$115,206.04","$111,370.14","$24,796.42",,,14.00%,1.0165
MID192530,"$57,412.90","$56,331.11","$12,191.84",,,17.20%,1.0181
MID192531,"$113,568.11","$111,412.92","$22,968.96",,,14.00%,1.1132
MID192532,"$64,577.03","$63,320.98","$13,051.47",,,10.60%,1.1169
MID192533,"$1,300,626.72","$1,275,745.53","$258,737.17",,,12.60%,1.1619
MID192534,"$14,353.28","$14,110.47","$2,928.97",,,11.40%,1.1449
MID192535,"$1,266,585.67","$1,230,283.91","$266,119.52",,,13.40%,1.0018
MID192536,"$1,307.44","$1,290.28",$268.46,,,12.40%,1.1452
MID192537,"$57,219.99","$55,547.89","$12,483.86",,,17.80%,0.9789
MID192538,"$58,138.29","$56,706.20","$12,462.73",,,14.00%,1.0542
MID192539,"$89,902.84","$88,527.31","$18,433.08",,,12.40%,1.1340
MID192540,"$1,306.41","$1,272.19",$282.35,,,12.00%,1.0852
MID192541,"$100,701.06","$98,392.38","$22,164.60",,,16.60%,0.9340
MID192542,"$51,151.51","$49,668.83","$10,822.39",,,13.00%,1.0304
MID192543,"$1,269,719.10","$1,244,387.00","$271,094.65",,,16.20%,0.9949
MID192544,"$12,623.60","$12,410.20","$2,595.69",,,15.00%,1.0108
MID192545,"$6,422.44","$6,257.76","$1,468.98",,,14.60%,0.9683
MID192546,"$124,450.41","$121,309.79","$27,906.21",,,16.00%,0.9837
MID192547,"$70,954.28","$69,710.78","$15,627.36",,,13.20%,1.0209
MID192548,"$89,535.51","$86,059.05","$20,870.09",,,14.20%,0.9840
MID192549,"$123,274.13","$121,350.45","$26,098.31",,,14.80%,1.0067
MID192550,"$72,745.54","$71,183.05","$15,445.32",,,12.00%,1.1489
MID192551,"$6,424.26","$6,207.02","$1,419.13",,,15.20%,1.0036
MID192552,"$1,283,434.49","$1,246,811.11","$280,764.52",,,15.00%,1.0095
MID192553,"$113,514.14","$110,857.93","$23,905.40",,,13.00%,1.0673
MID192554,"$115,282.02","$114,112.22","$22,789.47",,,14.60%,1.1094
MID192555,"$115,120.97","$112,348.91","$24,571.60",,,12.20%,1.1038
MID192556,"$1,302,354.76","$1,269,052.99","$281,974.23",,,11.40%,1.0723
MID192557,"$13,256.14","$12,923.90","$2,888.48",,,11.20%,1.1273
MID192558,"$62,808.83","$62,379.73","$12,424.32",,,14.00%,1.1114
MID192559,"$71,127.62","$69,703.82","$14,901.31",,,12.80%,1.0823
MID192560,"$64,602.19","$63,270.64","$13,423.95",,,11.80%,1.0878
MID192561,"$57,629.15","$55,696.74","$12,271.81",,,13.00%,1.0291
MID192562,"$1,297,333.79","$1,267,496.48","$271,512.35",,,13.20%,1.0951
MID192563,"$13,003.65","$12,706.31","$2,801.55",,,13.40%,1.0721
MID192564,"$88,138.23","$85,923.80","$18,554.63",,,11.40%,1.0315
MID192565,"$51,887.36","$50,734.07","$10,933.26",,,12.80%,1.0873
MID192566,"$13,008.07","$12,871.11","$2,790.40",,,14.80%,1.0780
MID192567,"$90,186.50","$88,311.46","$18,639.54",,,11.40%,1.1366
MID192568,"$13,121.08","$12,688.16","$2,774.38",,,10.20%,1.1250
MID192569,"$1,277.76","$1,251.02",$269.14,,,13.80%,1.0320
MID192570,"$1,278,041.50","$1,258,088.34","$275,289.81",,,16.40%,1.0100
MID192571,"$103,380.49","$100,917.11","$21,575.53",,,11.20%,1.0837
MID192572,"$103,493.79","$101,952.55","$21,364.48",,,12.80%,1.0997
MID192573,"$115,171.30","$112,006.01","$24,849.70",,,13.20%,1.0934
MID192574,"$13,056.52","$12,553.90","$2,835.80",,,10.80%,1.0778
MID192575,"$1,311.75","$1,299.12",$269.73,,,13.00%,1.1558
MID192576,"$57,991.53","$57,200.53","$12,495.37",,,14.60%,1.0397
MID192577,"$114,297.83","$110,601.03","$23,871.84",,,11.00%,1.1016
MID192578,"$6,408.78","$6,295.70","$1,349.04",,,13.80%,1.0443
MID192579,"$70,037.04","$68,931.23","$14,237.17",,,13.20%,1.0562
MID192580,"$117,281.46","$114,826.83","$25,220.63",,,13.20%,1.0817
MID192581,"$1,288,824.99","$1,243,853.49","$279,386.65",,,10.80%,1.0338
MID192582,"$58,666.36","$57,425.15","$12,677.38",,,14.00%,1.0780
MID192583,"$1,301.89","$1,280.98",$280.88,,,12.60%,1.0748
MID192584,"$1,315.48","$1,284.71",$291.86,,,12.60%,1.0809
MID192585,"$1,274,233.64","$1,233,901.20","$265,676.15",,,11.40%,1.0322
MID192586,"$6,478.92","$6,326.06","$1,414.78",,,13.40%,1.0453
MID192587,"$12,914.33","$12,656.27","$2,674.28",,,12.40%,1.0898
MID192588,"$113,500.41","$111,105.48","$24,194.60",,,15.80%,0.9713
MID192589,"$6,294.04","$6,154.83","$1,339.41",,,16.40%,0.9661
MID192590,"$51,915.63","$50,804.89","$11,232.35",,,13.40%,1.0608
MID192591,"$1,301.81","$1,258.50",$283.40,,,11.60%,1.0650
MID192592,"$52,692.17","$52,063.50","$11,023.34",,,11.20%,1.1514
MID192593,"$71,289.56","$70,282.08","$14,336.55",,,11.20%,1.1362
MID192594,"$104,125.13","$102,250.19","$20,529.33",,,10.40%,1.1752
MID192595,"$63,371.20","$60,610.00","$13,234.24",,,11.60%,1.0859
MID192596,"$103,354.90","$101,310.96","$20,287.26",,,10.20%,1.1512
MID192597,"$88,737.66","$86,839.46","$18,476.13",,,14.00%,1.0683
MID192598,"$118,076.60","$115,224.02","$24,735.61",,,11.40%,1.1351
MID192599,"$123,958.88","$120,642.26","$25,573.33",,,13.40%,1.0542
MID192600,"$6,368.15","$6,170.64","$1,302.57",,,12.60%,1.0503
MID192601,"$71,526.91","$69,749.32","$15,729.68",,,13.20%,1.0507
MID192602,"$64,211.30","$62,944.85","$13,781.71",,,15.60%,1.0312
MID192603,"$1,324,418.67","$1,298,485.61","$274,194.08",,,9.40%,1.1832
MID192604,"$1,285.63","$1,266.06",$277.30,,,15.80%,1.0300
MID192605,"$1,277.66","$1,254.53",$267.47,,,14.60%,1.0381
MID192606,"$14,070.79","$13,712.37","$3,021.35",,,13.80%,1.0164
MID192607,"$1,289.74","$1,252.53",$275.36,,,13.40%,1.0522
MID192608,"$113,719.73","$110,873.66","$25,051.76",,,14.00%,1.0267
MID192609,"$1,289,867.17","$1,263,187.87","$271,860.69",,,13.40%,1.0662
MID192610,"$116,974.81","$113,708.33","$25,219.60",,,12.80%,1.0696
MID192611,"$114,994.91","$112,034.11","$24,713.00",,,12.80%,1.0923
MID192612,"$1,284,752.44","$1,246,749.09","$281,624.30",,,13.60%,1.0111
MID192613,"$6,484.49","$6,271.81","$1,324.29",,,10.60%,1.1210
MID192614,"$1,294.40","$1,266.49",$273.38,,,12.20%,1.0769
MID192615,"$1,281,693.79","$1,250,730.82","$277,874.12",,,14.60%,1.0137
MID192616,"$51,604.57","$50,224.88","$11,424.86",,,13.40%,1.0157
MID192617,"$59,054.85","$56,931.81","$12,458.03",,,11.40%,1.1282
MID192618,"$6,487.39","$6,371.99","$1,400.85",,,13.20%,1.0618
MID192619,"$124,747.49","$121,953.62","$28,516.77",,,13.60%,0.9730
MID192620,"$104,623.40","$102,997.40","$22,228.81",,,12.80%,1.1077
MID192621,"$13,245.56","$13,094.27","$2,661.85",,,9.60%,1.2193
MID192622,"$1,307,608.07","$1,265,486.93","$280,880.01",,,11.40%,1.0952
MID192623,"$12,935.06","$12,511.82","$2,865.28",,,13.60%,1.0244
MID192624,"$114,852.14","$114,348.18","$22,152.86",,,13.60%,1.1218
MID192625,"$71,015.91","$69,713.69","$15,530.02",,,15.60%,1.0313
MID192626,"$114,798.69","$112,250.07","$22,913.07",,,10.60%,1.1696
MID192627,"$51,375.36","$50,671.35","$11,302.86",,,15.80%,1.0064
MID192628,"$64,379.27","$62,949.94","$13,376.39",,,13.40%,1.0750
MID192629,"$89,139.73","$87,198.56","$18,670.85",,,12.60%,1.0787
MID192630,"$115,977.64","$114,278.38","$25,473.26",,,13.80%,1.0198
MID192631,"$64,201.05","$62,298.88","$14,238.19",,,14.20%,1.0676
MID192632,"$62,903.69","$61,711.65","$13,147.27",,,12.00%,1.0575
MID192633,"$58,438.71","$57,675.01","$12,145.73",,,13.60%,1.1065
MID192634,"$89,176.84","$86,809.97","$18,906.80",,,14.40%,1.0672
MID192635,"$113,389.38","$109,355.78","$25,596.22",,,13.80%,0.9919
MID192636,"$13,089.09","$12,697.31","$2,938.48",,,12.20%,1.0513
MID192637,"$64,373.34","$63,165.16","$13,104.51",,,12.20%,1.0968
MID192638,"$1,284.34","$1,259.74",$274.13,,,14.80%,1.0373
MID192639,"$1,282,736.75","$1,252,922.72","$253,896.93",,,11.80%,1.1136
MID192640,"$88,450.43","$85,976.50","$17,928.95",,,11.40%,1.0849
MID192641,"$1,297.01","$1,282.33",$266.78,,,13.20%,1.1133
MID192642,"$58,102.20","$57,282.71","$12,115.25",,,13.20%,1.0815
MID192643,"$13,012.25","$12,769.53","$2,856.37",,,13.20%,1.0546
MID192644,"$51,347.99","$51,019.25","$10,262.25",,,13.60%,1.1058
MID192645,"$72,930.07","$71,476.04","$16,338.90",,,11.60%,1.0974
MID192646,"$88,460.09","$87,387.28","$17,664.05",,,13.40%,1.1017
MID192647,"$1,301,109.18","$1,259,136.24","$277,291.87",,,13.20%,1.0859
MID192648,"$14,264.09","$13,895.32","$3,182.46",,,13.00%,1.0257
MID192649,"$6,511.08","$6,337.78","$1,424.49",,,12.60%,1.0608
MID192650,"$64,756.73","$63,770.85","$14,419.44",,,14.00%,1.0234
MID192651,"$65,052.29","$63,214.39","$14,202.04",,,13.20%,1.0599
MID192652,"$71,242.63","$69,802.72","$15,011.87",,,12.20%,1.0820
MID192653,"$6,480.22","$6,302.14","$1,438.80",,,12.60%,1.0288
MID192654,"$89,533.00","$88,857.58","$19,087.47",,,14.20%,1.0757
MID192655,"$88,808.76","$86,823.84","$18,889.00",,,14.60%,1.0487
MID192656,"$6,460.20","$6,455.15","$1,275.11",,,9.80%,1.1452
MID192657,"$6,472.53","$6,295.57","$1,376.82",,,12.60%,1.0695
MID192658,"$58,568.78","$57,063.02","$13,093.77",,,14.60%,1.0363
MID192659,"$71,205.95","$69,336.53","$15,792.71",,,13.40%,1.0262
MID192660,"$14,299.41","$13,963.64","$3,063.60",,,12.80%,1.0770
MID192661,"$88,735.79","$85,659.09","$19,879.01",,,15.40%,0.9928
MID192662,"$1,294,508.13","$1,270,032.28","$271,536.65",,,12.00%,1.0846
MID192663,"$12,890.31","$12,537.43","$2,724.65",,,11.40%,1.0608
MID192664,"$87,963.50","$84,664.91","$18,909.08",,,14.40%,1.0029
MID192665,"$70,049.64","$68,671.84","$14,858.43",,,15.80%,1.0129
MID192666,"$112,681.51","$111,077.06","$21,879.57",,,10.80%,1.1281
MID192667,"$1,289,719.26","$1,271,046.47","$285,118.84",,,16.40%,1.0161
MID192668,"$1,277.46","$1,249.66",$273.45,,,14.20%,1.0147
MID192669,"$1,285,024.85","$1,269,153.91","$266,543.38",,,14.60%,1.0693
MID192670,"$62,618.10","$61,369.40","$13,439.24",,,15.00%,1.0133
MID192671,"$88,780.43","$86,725.46","$18,595.48",,,13.60%,1.0637
MID192672,"$89,731.50","$87,118.30","$19,787.44",,,14.60%,1.0477
MID192673,"$14,127.56","$13,871.92","$2,978.72",,,15.00%,1.0500
MID192674,"$1,277,465.85","$1,260,114.24","$274,723.07",,,16.60%,1.0100
MID192675,"$123,791.43","$120,036.31","$26,771.63",,,14.80%,1.0007
MID192676,"$64,692.63","$63,416.15","$13,006.57",,,13.20%,1.1296
MID192677,"$113,230.95","$109,432.91","$24,559.94",,,12.80%,1.0273
MID192678,"$88,922.94","$86,492.56","$19,318.80",,,15.80%,1.0313
MID192679,"$13,929.82","$13,720.63","$2,815.49",,,14.80%,1.0406
MID192680,"$1,295,165.65","$1,270,249.41","$285,615.60",,,12.80%,1.0334
MID192681,"$12,968.76","$12,690.48","$2,686.79",,,11.80%,1.1049
MID192682,"$12,749.89","$12,496.56","$2,680.89",,,14.80%,1.0257
MID192683,"$14,068.54","$13,810.87","$3,046.53",,,16.40%,1.0072
MID192684,"$103,744.76","$101,789.85","$22,699.90",,,14.20%,1.0460
MID192685,"$1,306,461.29","$1,283,363.39","$277,750.24",,,14.00%,1.1034
MID192686,"$64,216.01","$63,341.07","$12,892.18",,,12.80%,1.1027
MID192687,"$113,731.42","$113,156.29","$23,257.27",,,14.20%,1.1064
MID192688,"$1,304,899.35","$1,269,805.19","$287,324.80",,,12.80%,1.0612
MID192689,"$102,843.99","$100,793.55","$20,727.31",,,11.20%,1.1021
MID192690,"$1,323,137.16","$1,300,238.30","$269,586.23",,,10.80%,1.1986
MID192691,"$116,429.45","$112,959.41","$23,926.87",,,12.20%,1.1046
MID192692,"$12,946.82","$12,698.77","$2,887.05",,,14.40%,1.0207
MID192693,"$51,741.68","$50,311.60","$10,833.78",,,12.00%,1.0838
MID192694,"$12,820.33","$12,542.45","$3,020.98",,,16.80%,0.9336
MID192695,"$104,702.72","$102,693.03","$22,274.19",,,11.40%,1.1090
MID192696,"$126,061.56","$122,523.94","$27,375.54",,,12.00%,1.0616
MID192697,"$70,985.30","$68,618.02","$14,985.73",,,14.00%,1.0667
MID192698,"$1,287,150.81","$1,242,661.64","$267,710.73",,,11.60%,1.0726
MID192699,"$71,428.49","$69,645.49","$14,778.43",,,12.60%,1.1117
MID192700,"$70,946.44","$69,098.82","$14,469.41",,,12.40%,1.1021
MID192701,"$103,537.07","$101,357.05","$22,608.24",,,15.40%,1.0411
MID192702,"$103,698.16","$102,618.79","$21,859.65",,,13.60%,1.0841
MID192703,"$114,088.90","$111,966.95","$25,218.44",,,13.40%,1.0345
MID192704,"$112,307.62","$110,357.73","$24,287.30",,,16.00%,1.0008
MID192705,"$58,442.87","$57,327.82","$12,337.40",,,12.40%,1.0896
MID192706,"$72,333.08","$71,561.35","$15,058.70",,,10.80%,1.1510
MID192707,"$103,993.32","$100,508.35","$22,935.29",,,11.80%,1.0461
MID192708,"$70,622.04","$69,248.19","$15,352.94",,,15.20%,1.0175
MID192709,"$69,573.00","$67,882.48","$14,648.16",,,14.20%,0.9949
MID192710,"$1,291,300.20","$1,271,094.85","$284,140.67",,,13.60%,1.0252
MID192711,"$113,787.20","$110,314.55","$24,742.89",,,12.40%,1.0422
MID192712,"$88,181.31","$85,306.22","$19,970.79",,,17.40%,0.9605
MID192713,"$12,839.97","$12,414.59","$2,760.49",,,12.20%,1.0288
MID192714,"$112,507.01","$110,156.78","$23,713.38",,,15.60%,1.0335
MID192715,"$64,611.43","$63,355.35","$13,912.92",,,14.60%,1.0502
MID192716,"$14,315.56","$14,093.85","$3,328.15",,,13.80%,0.9962
MID192717,"$52,039.17","$51,021.98","$11,120.52",,,13.40%,1.0826
MID192718,"$89,079.04","$86,451.85","$19,581.95",,,13.80%,1.0254
MID192719,"$52,070.74","$50,094.77","$11,892.00",,,13.40%,1.0150
MID192720,"$58,194.03","$57,044.00","$12,474.98",,,14.80%,1.0576
MID192721,"$14,208.11","$13,947.16","$2,934.78",,,12.20%,1.0931
MID192722,"$51,792.24","$50,060.15","$11,259.08",,,12.00%,1.0474
MID192723,"$124,110.65","$122,538.55","$26,713.97",,,15.40%,1.0148
MID192724,"$6,473.47","$6,360.40","$1,326.46",,,11.40%,1.1108
MID192725,"$57,612.66","$57,267.84","$11,743.81",,,15.20%,1.0740
MID192726,"$114,845.26","$113,124.47","$23,630.23",,,12.00%,1.1361
MID192727,"$57,809.53","$56,613.12","$12,015.08",,,13.60%,1.0661
MID192728,"$89,953.26","$86,580.93","$19,223.71",,,11.20%,1.0900
MID192729,"$13,809.54","$13,564.25","$2,838.03",,,15.20%,0.9900
MID192730,"$51,301.60","$50,390.98","$11,289.08",,,14.80%,1.0011
MID192731,"$125,249.54","$121,586.10","$27,463.79",,,15.00%,1.0286
MID192732,"$88,042.13","$86,423.60","$19,018.72",,,15.40%,1.0012
MID192733,"$6,457.70","$6,306.61","$1,414.20",,,14.80%,1.0308
MID192734,"$88,294.28","$86,134.67","$19,524.29",,,16.40%,0.9882
MID192735,"$57,343.59","$55,876.76","$12,534.40",,,14.20%,0.9848
MID192736,"$102,861.84","$99,757.47","$21,635.32",,,12.00%,1.0567
MID192737,"$51,705.50","$49,912.22","$11,186.48",,,10.80%,1.0464
MID192738,"$64,885.01","$64,068.82","$14,260.60",,,13.00%,1.0438
MID192739,"$89,505.16","$87,676.88","$18,411.35",,,13.60%,1.1137
MID192740,"$51,746.72","$51,550.29","$10,962.48",,,14.00%,1.0715
MID192741,"$70,581.85","$69,332.19","$15,276.00",,,13.80%,1.0200
MID192742,"$114,955.76","$111,331.38","$24,749.19",,,11.00%,1.0892
MID192743,"$117,570.24","$115,447.25","$25,347.14",,,15.00%,1.0877
MID192744,"$63,429.43","$61,239.82","$13,295.30",,,12.60%,1.0853
MID192745,"$63,536.23","$62,715.18","$13,573.71",,,12.20%,1.0709
MID192746,"$125,553.70","$122,625.52","$27,973.19",,,15.40%,1.0208
MID192747,"$14,258.23","$14,173.18","$2,976.75",,,12.80%,1.0946
MID192748,"$102,723.23","$100,889.59","$21,449.55",,,13.60%,1.0594
MID192749,"$1,275,684.00","$1,240,631.40","$261,213.76",,,15.40%,1.0554
MID192750,"$115,365.48","$111,515.25","$24,108.68",,,12.80%,1.0521
MID192751,"$101,980.04","$100,125.01","$21,559.90",,,14.60%,1.0195
MID192752,"$90,257.01","$87,883.67","$19,349.77",,,11.80%,1.0986
MID192753,"$64,659.47","$62,133.05","$14,239.62",,,14.40%,1.0295
MID192754,"$91,367.82","$89,407.80","$19,416.88",,,11.80%,1.1520
MID192755,"$114,367.39","$111,260.08","$25,372.17",,,14.80%,1.0392
MID192756,"$103,540.55","$102,115.90","$20,634.28",,,11.00%,1.1408
MID192757,"$102,949.92","$100,672.59","$21,785.52",,,13.60%,1.0534
MID192758,"$51,698.17","$50,260.65","$11,059.38",,,14.80%,1.0578
MID192759,"$51,494.50","$50,149.56","$10,590.08",,,13.40%,1.0854
MID192760,"$1,306,877.43","$1,279,386.68","$277,712.24",,,12.60%,1.1050
MID192761,"$88,640.54","$86,799.99","$18,897.59",,,13.60%,1.0393
MID192762,"$1,287,057.62","$1,258,497.81","$263,351.76",,,13.20%,1.0900
MID192763,"$56,549.52","$55,042.77","$12,162.42",,,14.80%,0.9496
